,time,open,high,low,close,tick_volume,spread,real_volume
250,2020-12-18,1884.55,1889.65,1877.42,1880.89,122050,0,0
251,2020-12-21,1882.89,1906.74,1855.04,1876.52,191891,0,0
252,2020-12-22,1878.14,1884.28,1858.93,1859.92,159810,0,0
253,2020-12-23,1860.32,1878.51,1857.02,1873.15,140779,0,0
254,2020-12-24,1873.59,1883.15,1869.53,1879.51,82549,0,0
255,2020-12-28,1882.99,1900.24,1869.17,1873.46,186181,0,0
256,2020-12-29,1872.24,1886.38,1871.52,1878.27,103878,0,0
257,2020-12-30,1877.98,1894.51,1876.07,1894.47,95810,0,0
258,2020-12-31,1893.68,1900.41,1885.3,1893.7,95622,0,0
259,2021-01-04,1908.61,1944.44,1907.2,1942.85,160928,0,0
260,2021-01-05,1941.8,1953.03,1934.33,1950.0,145490,0,0
261,2021-01-06,1950.44,1959.35,1900.8,1918.8,201645,0,0
262,2021-01-07,1919.94,1927.67,1906.82,1913.57,152081,0,0
263,2021-01-08,1915.21,1917.51,1828.2,1849.02,218746,0,0
264,2021-01-11,1851.67,1856.58,1816.86,1843.37,180573,0,0
265,2021-01-12,1845.06,1863.8,1836.63,1854.61,155378,0,0
266,2021-01-13,1854.98,1863.04,1841.87,1844.95,127915,0,0
267,2021-01-14,1846.8,1857.53,1829.45,1846.07,157061,0,0
268,2021-01-15,1847.22,1857.02,1823.27,1827.42,170060,0,0
269,2021-01-18,1828.66,1840.79,1803.58,1837.58,112599,0,0
270,2021-01-19,1838.88,1845.5,1832.99,1840.03,134497,0,0
271,2021-01-20,1840.18,1871.73,1832.45,1871.4,151296,0,0
272,2021-01-21,1871.7,1875.13,1858.34,1869.61,148040,0,0
273,2021-01-22,1870.14,1870.82,1837.31,1856.11,162684,0,0
274,2021-01-25,1856.38,1867.88,1847.12,1855.93,167217,0,0
275,2021-01-26,1855.33,1861.71,1848.38,1850.67,129665,0,0
276,2021-01-27,1850.72,1853.13,1831.37,1844.1,160021,0,0
277,2021-01-28,1844.48,1864.05,1834.01,1842.54,197078,0,0
278,2021-01-29,1843.2,1875.66,1839.58,1848.69,226675,0,0
279,2021-02-01,1859.64,1871.82,1849.13,1860.58,254522,0,0
280,2021-02-02,1859.87,1864.08,1829.54,1837.97,202219,0,0
281,2021-02-03,1837.59,1844.98,1829.75,1834.08,147034,0,0
282,2021-02-04,1834.03,1834.74,1785.03,1793.95,181495,0,0
283,2021-02-05,1795.94,1815.17,1792.01,1813.68,147719,0,0
284,2021-02-08,1815.62,1839.13,1807.75,1830.53,151120,0,0
285,2021-02-09,1830.4,1848.59,1828.86,1838.44,142620,0,0
286,2021-02-10,1838.61,1855.39,1834.06,1843.27,148939,0,0
287,2021-02-11,1843.04,1847.55,1821.18,1825.54,127228,0,0
288,2021-02-12,1826.24,1830.7,1810.53,1824.5,134641,0,0
289,2021-02-15,1825.87,1827.02,1816.06,1818.81,80489,0,0
290,2021-02-16,1818.32,1826.45,1789.45,1794.36,179666,0,0
